DATE,CPI
25/5/2017,109.2
26/5/2017,109.2
27/5/2017,109.2
28/5/2017,109.2
29/5/2017,109.2
30/5/2017,109.2
31/5/2017,109.2
1/6/2017,109.2
2/6/2017,109.2
3/6/2017,109.2
4/6/2017,109.2
5/6/2017,109.2
6/6/2017,109.2
7/6/2017,109.2
8/6/2017,109.2
9/6/2017,109.2
10/6/2017,109.2
11/6/2017,109.3
12/6/2017,109.3
13/6/2017,109.3
14/6/2017,109.3
15/6/2017,109.3
16/6/2017,109.3
17/6/2017,109.3
18/6/2017,109.3
19/6/2017,109.3
20/6/2017,109.3
21/6/2017,109.3
22/6/2017,109.3
23/6/2017,109.3
24/6/2017,109.3
25/6/2017,109.3
26/6/2017,109.3
27/6/2017,109.3
28/6/2017,109.4
29/6/2017,109.4
30/6/2017,109.4
1/7/2017,109.4
2/7/2017,109.4
3/7/2017,109.4
4/7/2017,109.4
5/7/2017,109.4
6/7/2017,109.4
7/7/2017,109.4
8/7/2017,109.4
9/7/2017,109.4
10/7/2017,109.4
11/7/2017,109.4
12/7/2017,109.4
13/7/2017,109.4
14/7/2017,109.4
15/7/2017,109.4
16/7/2017,109.5
17/7/2017,109.5
18/7/2017,109.5
19/7/2017,109.5
20/7/2017,109.5
21/7/2017,109.5
22/7/2017,109.5
23/7/2017,109.5
24/7/2017,109.5
25/7/2017,109.5
26/7/2017,109.5
27/7/2017,109.5
28/7/2017,109.5
29/7/2017,109.5
30/7/2017,109.5
31/7/2017,109.5
1/8/2017,109.5
2/8/2017,109.6
3/8/2017,109.6
4/8/2017,109.6
5/8/2017,109.6
6/8/2017,109.6
7/8/2017,109.6
8/8/2017,109.6
9/8/2017,109.6
10/8/2017,109.6
11/8/2017,109.6
12/8/2017,109.6
13/8/2017,109.6
14/8/2017,109.6
15/8/2017,109.6
16/8/2017,109.6
17/8/2017,109.6
18/8/2017,109.6
19/8/2017,109.7
20/8/2017,109.7
21/8/2017,109.7
22/8/2017,109.7
23/8/2017,109.7
24/8/2017,109.7
25/8/2017,109.7
26/8/2017,109.7
27/8/2017,109.7
28/8/2017,109.7
29/8/2017,109.7
30/8/2017,109.7
31/8/2017,109.7
1/9/2017,109.7
2/9/2017,109.7
3/9/2017,109.7
4/9/2017,109.7
5/9/2017,109.8
6/9/2017,109.8
7/9/2017,109.8
8/9/2017,109.8
9/9/2017,109.8
10/9/2017,109.8
